ECU0: LK, ECU1: CC
4840, ECU0: LK, 1
4840, ECU1: CC, 1
4850, ECU0: LK, 0
4850, ECU1: CC, 0
4860, ECU0: LK, 1
4860, ECU1: CC, 1
4870, ECU0: LK, 0
4870, ECU1: CC, 0
4880, ECU0: LK, 1
4880, ECU1: CC, 1
4890, ECU0: LK, 0
4890, ECU1: CC, 0
4900, ECU0: LK, 1
4900, ECU1: CC, 1
4910, ECU0: LK, 0
4910, ECU1: CC, 0
4920, ECU0: LK, 1
4920, ECU1: CC, 1
4930, ECU0: LK, 0
4930, ECU1: CC, 0
4940, ECU0: LK, 1
4940, ECU1: CC, 1
4950, ECU0: LK, 0
4950, ECU1: CC, 0
4960, ECU0: LK, 1
4960, ECU1: CC, 1
4970, ECU0: LK, 0
4970, ECU1: CC, 0
4980, ECU0: LK, 1
4980, ECU1: CC, 1
4990, ECU0: LK, 0
4990, ECU1: CC, 0
5000, ECU0: LK, 1
5000, ECU1: CC, 1
5010, ECU0: LK, 0
5010, ECU1: CC, 0
5020, ECU0: LK, 1
5020, ECU1: CC, 1
5030, ECU0: LK, 0
